row_id	audit_round	label	family_or_status	governing_object_summary	resonance_condition_summary	observable_summary	parameter_packet_summary	demotion_test_summary	source_anchor	provenance_status
TAX04-C1	RF-TAX-04	Rabi molecular-beam magnetic resonance	F1 closed spectral	discrete Zeeman/Larmor spectral gap	RF drive near Larmor frequency	transition probability or beam-intensity dip	species; static field; RF amplitude/frequency; transit time; linewidth	demote if broadband heating/deflection without resolved gap	Rabi et al. 1938 Phys Rev 53 318 doi:10.1103/PhysRev.53.318	FULL_ROW_SOURCE_LOCK
TAX04-C2	RF-TAX-04	Bulk NMR in solids	F1 closed spectral	discrete nuclear spin splitting in static field	RF field tuned to nuclear precession	absorption or induction signal	sample; field; RF frequency; coil geometry; relaxation/linewidth	demote if only thermal response	Purcell Torrey Pound 1946 Phys Rev 69 37 doi:10.1103/PhysRev.69.37	FULL_ROW_SOURCE_LOCK
TAX04-C3	RF-TAX-04	Cyclotron resonance in Si/Ge	F1 closed spectral	carrier cyclotron frequency in magnetic field	microwave frequency near cyclotron frequency	microwave absorption versus field/orientation	material; carrier type; temperature; field strength/orientation; polarization; linewidth	demote if Drude rolloff or missing anisotropic cyclotron scaling	Dresselhaus Kip Kittel 1955 Phys Rev 98 368 doi:10.1103/PhysRev.98.368	FULL_ROW_SOURCE_LOCK
TAX04-O1	RF-TAX-04	Breit-Wigner nuclear resonance	F2 open pole/QNM	isolated complex S-matrix/resolvent pole	scattering energy near pole	cross-section peak and phase-shift behavior	resonance energy; total width; partial widths; channel angular momentum; background	demote if threshold cusp or background artifact	Wigner 1946 Phys Rev 70 15 doi:10.1103/PhysRev.70.15	FULL_ROW_SOURCE_LOCK
TAX04-O2	RF-TAX-04	Black-hole quasinormal modes	F2 open pole/QNM	complex QNM frequencies with outgoing/ingoing boundary conditions	perturbation projects onto damped QNM spectrum	ringdown frequencies and damping times	mass; spin; mode indices; start-time; damping time; SNR	demote if generic damped sinusoid without QNM boundary discipline	Maggiore 2008 Phys Rev Lett 100 141301 doi:10.1103/PhysRevLett.100.141301	FULL_ROW_SOURCE_LOCK
TAX04-O3	RF-TAX-04	Exceptional point in microwave cavity	F2 boundary	defective non-Hermitian spectral branch point	controls tune to EP and loop encircles it	eigenvalue/eigenvector coalescence and interchange	two controls; complex eigenvalues; loop geometry; field reconstruction	demote if no coalescence and topology	Dembowski et al. 2001 Phys Rev Lett 86 787 doi:10.1103/PhysRevLett.86.787	FULL_ROW_SOURCE_LOCK
TAX04-O4	RF-TAX-04	Optical bound state in continuum	F2 boundary	embedded eigenvalue/zero-leakage state in continuum	radiation amplitudes cancel while mode remains embedded	trapped light or divergent Q	geometry; wave vector; symmetry/interference channel; leakage amplitudes; Q scaling	demote if ordinary finite-Q guided resonance	Hsu et al. 2013 Nature 499 188 doi:10.1038/nature12289	FULL_ROW_SOURCE_LOCK
TAX04-O5	RF-TAX-04	Fano autoionization line shape	F2 observable overlay	discrete-continuum interference	discrete autoionizing level overlaps continuum	asymmetric line shape and phase shift	resonance energy; width; asymmetry q; continuum channel; background	demote if line-shape naming lacks pole-plus-continuum decomposition	Fano 1961 Phys Rev 124 1866 doi:10.1103/PhysRev.124.1866	FULL_ROW_SOURCE_LOCK
TAX04-N1	RF-TAX-04	Adler injection locking	F3 nonlinear phase locking	phase-reduced nonlinear oscillator	detuning inside coupling-defined lock range	frequency pulling; phase capture; lock/unlock transition	free-running frequency; injected frequency; coupling; damping; lock range	demote if linear response peak without phase capture	Adler 1946 Proc IRE 34 351 doi:10.1109/JRPROC.1946.229930	FULL_ROW_SOURCE_LOCK
TAX04-N2	RF-TAX-04	Van der Pol frequency demultiplication	F3 nonlinear phase locking	self-oscillatory limit cycle with nonlinear phase locking	forcing inside subharmonic locking tongue	demultiplied/entrained output frequency	forcing frequency/amplitude; autonomous frequency; nonlinear damping	demote if passive harmonic response without autonomous phase dynamics	van der Pol and van der Mark 1927 Nature 120 363 doi:10.1038/120363a0	FULL_ROW_SOURCE_LOCK
TAX04-N3	RF-TAX-04	Shapiro steps in Josephson tunneling	F3 nonlinear phase locking	Josephson phase dynamics on synchronization manifold	AC Josephson frequency locks to microwave drive	constant-voltage I-V steps	RF frequency/power; DC bias; critical current/damping; step index	demote if cavity/transport feature without Josephson phase locking	Shapiro 1963 Phys Rev Lett 11 80 doi:10.1103/PhysRevLett.11.80	FULL_ROW_SOURCE_LOCK
TAX04-F1	RF-TAX-04	MEMS parametric-resonance tongues	F4 Floquet/parametric	periodically modulated operator/Mathieu-Floquet monodromy	drive and modulation depth cross instability tongue	instability-lobe onset; parametrically excited oscillation	natural frequency; drive frequency; modulation amplitude; damping; order	demote if direct resonance without Floquet tongue structure	Turner et al. 1998 Nature 396 149 doi:10.1038/24122	FULL_ROW_SOURCE_LOCK
